Serial No,name,link,indice_type,symbol
49,Nifty Infrastructure Index,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-infrastructure,Thematic,^NSEINFRA
50,Nifty IPO,https://niftyindices.com/indices/equity/thematic-indices/nifty-ipo,Thematic,^NSEIPO
51,Nifty Midcap Liquid 15 Index,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-midcap-liquid-15,Thematic,^NSEMIDCAPLIQUID15
52,Nifty MidSmall India Consumption Index,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-midsmall-india-consumption-index,Thematic,^NSEMIDSMALL_INDIA_CONSUMPTION
53,Nifty MNC Index,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-mnc,Thematic,^NSEMNC
54,Nifty Mobility,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-mobility,Thematic,^NSEMOBILITY
55,Nifty PSE Index,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-pse,Thematic,^NSEPSE
56,Nifty REITs & InvITs Index,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-reits-invits,Thematic,^NSEREIT_INVIT
57,Nifty Rural,https://niftyindices.com/indices/equity/thematic-indices/nifty-rural,Thematic,^NSERURAL
58,Nifty Non-Cyclical Consumer Index,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-non-cyclical-consumer,Thematic,^NSENONCYCLICAL
59,Nifty Services Sector Index,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-services-sector,Thematic,^NSESERVICES
60,Nifty Shariah 25 Index,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-shariah-25,Thematic,^NSESHARIAH25
61,Nifty100 Liquid 15 Index,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-100-liquid-15,Thematic,^NSE100LIQUID15
62,Nifty50 Shariah Index,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-50-shariah,Thematic,^NSE50SHARIAH
63,Nifty500 Shariah Index,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-500-shariah,Thematic,^NSE500SHARIAH
64,Nifty500 Multicap India Manufacturing 50:30:20 Index,https://www.niftyindices.com/indices/equity/thematic-indices/nifty500-multicap-india-manufacturing-50-30-20,Thematic,^NSE500_Multicap_INDIA_MANUFACTURING
65,Nifty500 Multicap Infrastructure 50:30:20 Index,https://www.niftyindices.com/indices/equity/thematic-indices/nifty500-multicap-infrastructure-50-30-20,Thematic,^NSE500_Multicap_INFRASTRUCTURE
66,Nifty SME EMERGE,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-sme-emerge,Thematic,^NSESMEEMERGE
67,Nifty Transportation & Logistics,https://www.niftyindices.com/indices/equity/thematic-indices/nifty-transportation-logistics,Thematic,^NSETRANSPORT_LOGISTICS
68,Nifty100 ESG,https://www.niftyindices.com/indices/equity/thematic-indices/nifty100-esg,Thematic,^NSE100ESG
69,Nifty100 Enhanced ESG,https://www.niftyindices.com/indices/equity/thematic-indices/nifty100-enhanced-esg,Thematic,^NSE100_ENHANCED_ESG
70,Nifty100 ESG Sector Leaders Index,https://www.niftyindices.com/indices/equity/thematic-indices/nifty100-esg-sector-leaders-index,Thematic,^NSE100_ESG_SECTOR_LEADERS
