,Date ,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
0,02-Sep-2024,EQ,"3,021.10","3,059.15","2,997.60","3,019.35","3,039.00","3,042.15","3,025.26","3,743.90","2,142.00","18,42,658","5,57,45,22,547.20","73,749"
1,30-Aug-2024,EQ,"3,030.00","3,038.55","3,003.30","3,020.15","3,033.00","3,019.35","3,019.69","3,743.90","2,142.00","35,09,174","10,59,66,22,023.00","77,468"
2,29-Aug-2024,EQ,"3,030.00","3,041.95","2,981.30","3,028.00","3,022.00","3,020.15","3,007.33","3,743.90","2,142.00","18,53,966","5,57,54,88,281.30","1,00,949"
3,28-Aug-2024,EQ,"3,078.00","3,078.00","3,022.10","3,067.10","3,028.00","3,028.00","3,041.32","3,743.90","2,142.00","15,69,652","4,77,38,06,258.80","62,349"
4,27-Aug-2024,EQ,"3,072.20","3,095.75","3,064.00","3,069.00","3,067.00","3,067.10","3,078.59","3,743.90","2,142.00","13,10,440","4,03,43,10,722.25","43,632"
